time,lambdas,dHdl
270.0,0.1,39.718950039213084
290.0,0.1,62.42253799223241
310.0,0.1,27.60796552649829
330.0,0.1,52.16591746046056
350.0,0.1,52.556751298144604
370.0,0.1,62.64009657054837
390.0,0.1,55.36605821382371
410.0,0.1,32.95366663085568
430.0,0.1,55.07771342112892
450.0,0.1,35.9219909191204
470.0,0.1,57.84022092019265
490.0,0.1,54.20445979066406
510.0,0.1,39.07298389804517
530.0,0.1,47.04414904851012
550.0,0.1,35.42413906064562
570.0,0.1,60.685759642283664
590.0,0.1,39.43429552309728
610.0,0.1,36.79272845191776
630.0,0.1,51.16400736926452
650.0,0.1,60.56230311673197
